opening /groups/hess/hesslab/ibeammsem/system_02/wafers/wafer_60/xlog/xlog_wafer_60.zarr ...
loading slab info with wafer_short_prefix w60_ and 10 number_of_slabs_per_group ...
found 771 region slabs with 54 max mfovs and 19 average mfovs

render project: w60_serial_000_to_009 (10 slab regions):
  SlabInfo(wafer_short_prefix='w60_', serial_id=0, magc_id=281, region=0, first_mfov=0, last_mfov=8, stack_name='w60_s000_r00')
  SlabInfo(wafer_short_prefix='w60_', serial_id=1, magc_id=144, region=0, first_mfov=0, last_mfov=8, stack_name='w60_s001_r00')
  SlabInfo(wafer_short_prefix='w60_', serial_id=2, magc_id=145, region=0, first_mfov=0, last_mfov=8, stack_name='w60_s002_r00')
  SlabInfo(wafer_short_prefix='w60_', serial_id=3, magc_id=127, region=0, first_mfov=0, last_mfov=8, stack_name='w60_s003_r00')
  SlabInfo(wafer_short_prefix='w60_', serial_id=4, magc_id=122, region=0, first_mfov=0, last_mfov=8, stack_name='w60_s004_r00')
  SlabInfo(wafer_short_prefix='w60_', serial_id=5, magc_id=121, region=0, first_mfov=0, last_mfov=8, stack_name='w60_s005_r00')
  SlabInfo(wafer_short_prefix='w60_', serial_id=6, magc_id=316, region=0, first_mfov=0, last_mfov=8, stack_name='w60_s006_r00')
  SlabInfo(wafer_short_prefix='w60_', serial_id=7, magc_id=231, region=0, first_mfov=0, last_mfov=8, stack_name='w60_s007_r00')
  SlabInfo(wafer_short_prefix='w60_', serial_id=8, magc_id=235, region=0, first_mfov=0, last_mfov=8, stack_name='w60_s008_r00')
  SlabInfo(wafer_short_prefix='w60_', serial_id=9, magc_id=265, region=0, first_mfov=0, last_mfov=8, stack_name='w60_s009_r00')
render project: w60_serial_010_to_019 (10 slab regions):
  SlabInfo(wafer_short_prefix='w60_', serial_id=10, magc_id=268, region=0, first_mfov=0, last_mfov=8, stack_name='w60_s010_r00')
  SlabInfo(wafer_short_prefix='w60_', serial_id=11, magc_id=327, region=0, first_mfov=0, last_mfov=8, stack_name='w60_s011_r00')
  SlabInfo(wafer_short_prefix='w60_', serial_id=12, magc_id=260, region=0, first_mfov=0, last_mfov=8, stack_name='w60_s012_r00')
  SlabInfo(wafer_short_prefix='w60_', serial_id=13, magc_id=277, region=0, first_mfov=0, last_mfov=8, stack_name='w60_s013_r00')
  SlabInfo(wafer_short_prefix='w60_', serial_id=14, magc_id=279, region=0, first_mfov=0, last_mfov=8, stack_name='w60_s014_r00')
  SlabInfo(wafer_short_prefix='w60_', serial_id=15, magc_id=29, region=0, first_mfov=0, last_mfov=8, stack_name='w60_s015_r00')
  SlabInfo(wafer_short_prefix='w60_', serial_id=16, magc_id=30, region=0, first_mfov=0, last_mfov=8, stack_name='w60_s016_r00')
  SlabInfo(wafer_short_prefix='w60_', serial_id=17, magc_id=186, region=0, first_mfov=0, last_mfov=8, stack_name='w60_s017_r00')
  SlabInfo(wafer_short_prefix='w60_', serial_id=18, magc_id=319, region=0, first_mfov=0, last_mfov=8, stack_name='w60_s018_r00')
  SlabInfo(wafer_short_prefix='w60_', serial_id=19, magc_id=77, region=0, first_mfov=0, last_mfov=8, stack_name='w60_s019_r00')
render project: w60_serial_020_to_029 (20 slab regions):
  SlabInfo(wafer_short_prefix='w60_', serial_id=20, magc_id=365, region=0, first_mfov=0, last_mfov=8, stack_name='w60_s020_r00')
  SlabInfo(wafer_short_prefix='w60_', serial_id=20, magc_id=365, region=1, first_mfov=9, last_mfov=12, stack_name='w60_s020_r01')
  SlabInfo(wafer_short_prefix='w60_', serial_id=21, magc_id=388, region=0, first_mfov=0, last_mfov=8, stack_name='w60_s021_r00')
  SlabInfo(wafer_short_prefix='w60_', serial_id=21, magc_id=388, region=1, first_mfov=9, last_mfov=12, stack_name='w60_s021_r01')
  SlabInfo(wafer_short_prefix='w60_', serial_id=22, magc_id=387, region=0, first_mfov=0, last_mfov=8, stack_name='w60_s022_r00')
  SlabInfo(wafer_short_prefix='w60_', serial_id=22, magc_id=387, region=1, first_mfov=9, last_mfov=12, stack_name='w60_s022_r01')
  SlabInfo(wafer_short_prefix='w60_', serial_id=23, magc_id=324, region=0, first_mfov=0, last_mfov=8, stack_name='w60_s023_r00')
  SlabInfo(wafer_short_prefix='w60_', serial_id=23, magc_id=324, region=1, first_mfov=9, last_mfov=12, stack_name='w60_s023_r01')
