opening /groups/hess/hesslab/ibeammsem/system_02/wafers/wafer_61/xlog/xlog_wafer_61.zarr ...
loading slab info with wafer_short_prefix w61_ and 10 number_of_slabs_per_group ...
found 14 magc ids without regions: [40, 41, 42, 86, 87, 103, 109, 152, 153, 197, 227, 235, 236, 308], this occurs when the block is sectioned before/after the ROI starts/ends,
found 554 region slabs with 53 max mfovs and 20 average mfovs

render project: w61_serial_000_to_009 (11 slab regions):
  SlabInfo(wafer_short_prefix='w61_', serial_id=0, magc_id=345, region=0, first_mfov=0, last_mfov=34, stack_name='w61_s000_r00')
  SlabInfo(wafer_short_prefix='w61_', serial_id=0, magc_id=345, region=1, first_mfov=35, last_mfov=49, stack_name='w61_s000_r01')
  SlabInfo(wafer_short_prefix='w61_', serial_id=1, magc_id=178, region=0, first_mfov=0, last_mfov=49, stack_name='w61_s001_r00')
  SlabInfo(wafer_short_prefix='w61_', serial_id=2, magc_id=263, region=0, first_mfov=0, last_mfov=52, stack_name='w61_s002_r00')
  SlabInfo(wafer_short_prefix='w61_', serial_id=3, magc_id=363, region=0, first_mfov=0, last_mfov=50, stack_name='w61_s003_r00')
  SlabInfo(wafer_short_prefix='w61_', serial_id=4, magc_id=325, region=0, first_mfov=0, last_mfov=52, stack_name='w61_s004_r00')
  SlabInfo(wafer_short_prefix='w61_', serial_id=5, magc_id=324, region=0, first_mfov=0, last_mfov=52, stack_name='w61_s005_r00')
  SlabInfo(wafer_short_prefix='w61_', serial_id=6, magc_id=347, region=0, first_mfov=0, last_mfov=50, stack_name='w61_s006_r00')
  SlabInfo(wafer_short_prefix='w61_', serial_id=7, magc_id=346, region=0, first_mfov=0, last_mfov=48, stack_name='w61_s007_r00')
  SlabInfo(wafer_short_prefix='w61_', serial_id=8, magc_id=343, region=0, first_mfov=0, last_mfov=51, stack_name='w61_s008_r00')
  SlabInfo(wafer_short_prefix='w61_', serial_id=9, magc_id=246, region=0, first_mfov=0, last_mfov=51, stack_name='w61_s009_r00')
render project: w61_serial_010_to_019 (11 slab regions):
  SlabInfo(wafer_short_prefix='w61_', serial_id=10, magc_id=151, region=0, first_mfov=0, last_mfov=51, stack_name='w61_s010_r00')
  SlabInfo(wafer_short_prefix='w61_', serial_id=11, magc_id=127, region=0, first_mfov=0, last_mfov=50, stack_name='w61_s011_r00')
  SlabInfo(wafer_short_prefix='w61_', serial_id=12, magc_id=259, region=0, first_mfov=0, last_mfov=50, stack_name='w61_s012_r00')
  SlabInfo(wafer_short_prefix='w61_', serial_id=13, magc_id=258, region=0, first_mfov=0, last_mfov=50, stack_name='w61_s013_r00')
  SlabInfo(wafer_short_prefix='w61_', serial_id=14, magc_id=20, region=0, first_mfov=0, last_mfov=48, stack_name='w61_s014_r00')
  SlabInfo(wafer_short_prefix='w61_', serial_id=15, magc_id=19, region=0, first_mfov=0, last_mfov=50, stack_name='w61_s015_r00')
  SlabInfo(wafer_short_prefix='w61_', serial_id=16, magc_id=290, region=0, first_mfov=0, last_mfov=51, stack_name='w61_s016_r00')
  SlabInfo(wafer_short_prefix='w61_', serial_id=17, magc_id=280, region=0, first_mfov=0, last_mfov=50, stack_name='w61_s017_r00')
  SlabInfo(wafer_short_prefix='w61_', serial_id=18, magc_id=165, region=0, first_mfov=0, last_mfov=32, stack_name='w61_s018_r00')
  SlabInfo(wafer_short_prefix='w61_', serial_id=18, magc_id=165, region=1, first_mfov=33, last_mfov=47, stack_name='w61_s018_r01')
  SlabInfo(wafer_short_prefix='w61_', serial_id=19, magc_id=18, region=0, first_mfov=0, last_mfov=50, stack_name='w61_s019_r00')
render project: w61_serial_020_to_029 (14 slab regions):
  SlabInfo(wafer_short_prefix='w61_', serial_id=20, magc_id=92, region=0, first_mfov=0, last_mfov=47, stack_name='w61_s020_r00')
  SlabInfo(wafer_short_prefix='w61_', serial_id=21, magc_id=93, region=0, first_mfov=0, last_mfov=50, stack_name='w61_s021_r00')
  SlabInfo(wafer_short_prefix='w61_', serial_id=22, magc_id=118, region=0, first_mfov=0, last_mfov=47, stack_name='w61_s022_r00')
  SlabInfo(wafer_short_prefix='w61_', serial_id=23, magc_id=329, region=0, first_mfov=0, last_mfov=35, stack_name='w61_s023_r00')
  SlabInfo(wafer_short_prefix='w61_', serial_id=23, magc_id=329, region=1, first_mfov=36, last_mfov=50, stack_name='w61_s023_r01')
  SlabInfo(wafer_short_prefix='w61_', serial_id=24, magc_id=126, region=0, first_mfov=0, last_mfov=50, stack_name='w61_s024_r00')
  SlabInfo(wafer_short_prefix='w61_', serial_id=25, magc_id=265, region=0, first_mfov=0, last_mfov=50, stack_name='w61_s025_r00')
  SlabInfo(wafer_short_prefix='w61_', serial_id=26, magc_id=348, region=0, first_mfov=0, last_mfov=33, stack_name='w61_s026_r00')
